customer_id,email,age,gender,location,product_id,product_name,category,subcategory,price,brand,shipping_address,purchase_date,delivery_status,return_status,discount_applied,product_rating
62a3e625-87a6-4c01-a271-d6855cb400cd,kartikviswanathan@yahoo.com,54,Female,Jalgaon,282625a3-c81b-4315-9a59-bb364c59e74b,Quod Groceries,Groceries,Soluta,14357.08,Amul,"H.No. 05, Tailor Nagar, Parbhani 065248",2024-08-26,Cancelled,Not Returned,3312.09,4.4
045c8692-3771-45dc-8dba-887e83e3737c,oorja55@gmail.com,31,Female,Jamalpur,1460ec1e-ea6d-4ccd-b264-8c6281849d34,Earum Electronics,Electronics,Doloribus,41137.43,Realme,"82, Seshadri, Udupi-371292",2025-01-15,Pending,Not Returned,152.87,2.7
0d388f44-cf42-4448-8370-0d92d45c66b4,gangulyrania@hotmail.com,50,Other,Yamunanagar,48de6650-7305-4201-ae81-03a91eb99099,Temporibus Footwear,Footwear,Sed,48083.78,Bata,"24, Dyal Path, Phusro 536086",2025-02-10,Delivered,Returned,1861.71,2.1
eef9dec2-d1b0-4642-9ff9-77d1792c4ec5,seher76@hotmail.com,48,Female,Nangloi Jat,d9f4be51-4378-44a6-a25a-5d9560e9cf9d,Atque Apparel,Apparel,Impedit,7325.53,Manyavar,"333, Kohli Zila, Jamalpur-074071",2024-03-11,Shipped,Returned,4202.74,1.9
a644b5d6-9de0-4d83-9397-4d91e52feacf,cvenkatesh@yahoo.com,53,Female,Karaikudi,4440d230-09b0-49c1-96dc-1b1344be865b,Sed Groceries,Groceries,Quasi,17783.05,Aashirvaad,"888, Chad Road, Nangloi Jat-571136",2024-05-18,Shipped,Returned,198.19,3.4
1455ca15-438f-4333-a986-eff5c62f82db,mannatsethi@yahoo.com,47,Female,Kurnool,a80000e6-26b0-4846-b75d-fafffa6d3daa,Eaque Home Appliances,Home Appliances,Suscipit,17018.86,LG,"H.No. 121, Hayer Zila, Baranagar-950577",2024-06-02,Cancelled,Returned,331.31,1.7
bc932ff9-4dba-40aa-b508-5bc0d867182c,miraan23@gmail.com,54,Other,Giridih,30160bea-f75f-49f1-a08f-cc8b970bb8be,Blanditiis Apparel,Apparel,At,27062.45,FabIndia,"429, Dhawan Street, Ulhasnagar-305719",2024-10-20,Pending,Not Returned,417.83,5.0
7eaa33c8-9cb1-4957-99d6-fd91d2e6686a,fdesai@yahoo.com,22,Other,Udaipur,89a8f368-505d-4ca0-a443-250ce6697fda,Ratione Footwear,Footwear,Praesentium,49767.67,Nike,"91/235, Chadha Chowk, Bongaigaon 059183",2024-06-15,Pending,Not Returned,2195.29,1.4
eabb59c1-20da-4998-ac30-b84a2f0cd36d,shanaya06@ahluwalia.com,19,Female,Srinagar,d70591bc-1592-4649-9b73-f1ed3cc69aa9,Ea Footwear,Footwear,Nobis,26535.16,Reebok,"28, Ray Road, Madanapalle 190115",2024-03-09,Cancelled,Not Returned,2923.77,3.3
7f557c65-2375-4242-83ae-f3fee81eaca8,ishita68@boase.info,48,Other,Sirsa,3ae74a78-dc4d-4709-a0b5-3b55e24cbb03,Nobis Footwear,Footwear,Exercitationem,7596.06,Reebok,"58/488, Zacharia, Jabalpur 273197",2025-01-09,Shipped,Not Returned,1806.22,2.2
